stage,clip,run,frames,baseline_cpu,candidate_cpu,speedup,median_packet_baseline,median_packet_candidate,median_speedup
avx_strength,sintel,0,11277,17.307244918,17.466095281,0.990905,1.329241288,1.305408895,1.018257
avx_strength,sintel,1,11277,15.047815527,14.832013328,1.014550,1.267100244,1.248210417,1.015134
avx_strength,sintel,2,11277,15.972358174,14.994940344,1.065183,1.286550774,1.260880071,1.020359
simple_setup,sintel,0,11277,18.441777639,17.962370923,1.026690,1.323283462,1.301090083,1.017058
simple_setup,sintel,1,11277,16.733660691,16.065465627,1.041592,1.313595264,1.289811252,1.018440
simple_setup,sintel,2,11277,15.566812561,15.854862413,0.981832,1.282200424,1.261022670,1.016794
rejected_filter_specialization,sintel,0,11277,15.202207395,14.275166005,1.064941,1.237077123,1.233282941,1.003076
rejected_filter_specialization,sintel,1,11277,15.585441231,15.815872103,0.985430,1.263668054,1.263679280,0.999991
rejected_filter_specialization,sintel,2,11277,15.120115700,14.377911476,1.051621,1.248573745,1.240470282,1.006533
rejected_left_cache,sintel,0,11277,13.637317361,13.987415059,0.974971,1.222911077,1.232936023,0.991869
rejected_left_cache,sintel,1,11277,13.862271554,14.088281960,0.983958,1.208023281,1.208975288,0.999213
rejected_left_cache,sintel,2,11277,17.134401689,16.386935557,1.045614,1.315162958,1.309271800,1.004500
combined,sintel,0,11277,15.702646912,15.086279984,1.040856,1.281936231,1.247817783,1.027342
combined,sintel,1,11277,16.846751636,16.341368641,1.030927,1.318330173,1.282280658,1.028114
combined,sintel,2,11277,15.905398512,16.330345249,0.973978,1.311979458,1.282268894,1.023170
combined,animation,0,810,0.605945653,0.545464076,1.110881,0.043986966,0.041701969,1.054794
combined,animation,1,810,0.890503807,0.665879477,1.337335,0.043043157,0.041869206,1.028039
combined,animation,2,810,0.617944988,0.553221929,1.116993,0.044106047,0.042591260,1.035566
combined,testsrc2-720p,0,2700,10.746459953,10.293964261,1.043957,0.911873046,0.887224595,1.027782
combined,testsrc2-720p,1,2700,10.699535998,10.163337897,1.052758,0.944497443,0.924552015,1.021573
combined,testsrc2-720p,2,2700,10.694041214,10.369043689,1.031343,0.964613878,0.946752259,1.018866
