experiment,clip,run,frames,baseline_cpu,candidate_cpu,speedup,median_packet_baseline,median_packet_candidate,median_speedup
lzcnt-direct,sintel,0,11277,15.608004078,15.888050378,0.982374,1.300865830,1.300828629,1.000029
lzcnt-direct,sintel,1,11277,15.817871995,15.990083841,0.989230,1.368172289,1.376544446,0.993918
lzcnt-direct,sintel,2,11277,20.333185184,20.778602297,0.978564,1.544888607,1.559097398,0.990887
lzcnt-direct,testsrc2,0,2700,15.215464853,15.018621136,1.013107,1.104764328,1.077476294,1.025326
lzcnt-direct,testsrc2,1,2700,11.115056492,10.944157471,1.015616,0.925140714,0.918875984,1.006818
lzcnt-direct,testsrc2,2,2700,15.892223932,15.245163259,1.042444,1.100248539,1.080928632,1.017873
lzcnt-scaled,sintel,0,11277,13.433709442,14.055850740,0.955738,1.210607836,1.223647597,0.989344
lzcnt-scaled,sintel,1,11277,14.273082041,14.435750016,0.988732,1.203522754,1.204284284,0.999368
lzcnt-scaled,sintel,2,11277,15.786664295,16.048901501,0.983660,1.245203309,1.262480484,0.986315
lzcnt-scaled,testsrc2,0,2700,12.798454161,13.179124035,0.971116,1.027433461,1.018630750,1.008642
lzcnt-scaled,testsrc2,1,2700,10.324585525,10.455746622,0.987456,0.915015637,0.904648722,1.011460
lzcnt-scaled,testsrc2,2,2700,10.374066421,9.827458015,1.055621,0.912064635,0.915688129,0.996043
unary-register,sintel,0,11277,14.711483158,13.808657126,1.065381,1.202669556,1.201836666,1.000693
unary-register,sintel,1,11277,14.466057883,14.584531615,0.991877,1.232399193,1.236448389,0.996725
unary-register,sintel,2,11277,14.165856331,14.078622981,1.006196,1.225734727,1.223574217,1.001766
unary-register,testsrc2,0,2700,10.484116731,10.852628133,0.966044,0.920957018,0.919466346,1.001621
unary-register,testsrc2,1,2700,9.854184598,9.758770121,1.009777,0.899166283,0.892067573,1.007958
unary-register,testsrc2,2,2700,10.063724723,9.587846512,1.049633,0.884084807,0.878274555,1.006616
