experiment,clip,run,frames,baseline_cpu,candidate_cpu,speedup,median_packet_baseline,median_packet_candidate,median_speedup
mc-inline,sintel,0,11277,15.946664896,15.429632238,1.033509,1.254114764,1.253119956,1.000794
mc-inline,sintel,1,11277,20.654710977,19.571811451,1.055330,1.367202693,1.362520704,1.003436
mc-inline,sintel,2,11277,23.036530462,23.311003529,0.988226,1.640284322,1.620501844,1.012208
prefetch,sintel,0,11277,15.630756069,15.477022474,1.009933,1.286917229,1.282112046,1.003748
prefetch,sintel,1,11277,15.351966941,14.448724439,1.062514,1.239564083,1.237145188,1.001955
prefetch,sintel,2,11277,14.224736687,13.981055196,1.017429,1.219567443,1.217745328,1.001496
prefetch,animation,0,810,0.478990180,0.499590044,0.958766,0.042101772,0.042165286,0.998494
prefetch,animation,1,810,0.468499313,0.452220409,1.035998,0.040765726,0.040974454,0.994906
prefetch,animation,2,810,1.101881669,1.075844538,1.024202,0.053607008,0.044602605,1.201881
prefetch,testsrc2-720p,0,2700,10.154524441,10.976050575,0.925153,0.913531659,0.901785851,1.013025
prefetch,testsrc2-720p,1,2700,10.564871160,10.845082233,0.974162,0.951553051,0.948374526,1.003352
prefetch,testsrc2-720p,2,2700,11.174912229,11.443740385,0.976509,0.971864882,0.956973598,1.015561
packed-cabac,sintel,0,11277,17.296351357,16.836506393,1.027312,1.278433069,1.263149489,1.012100
packed-cabac,sintel,1,11277,16.587159245,17.005174019,0.975418,1.323724253,1.313707134,1.007625
packed-cabac,sintel,2,11277,15.590707513,15.953994415,0.977229,1.279320632,1.265049692,1.011281
packed-cabac,animation,0,810,0.496770461,0.488095325,1.017773,0.041801187,0.041867291,0.998421
packed-cabac,animation,1,810,0.481796098,0.499371398,0.964805,0.041156146,0.040281175,1.021722
packed-cabac,animation,2,810,0.501582310,0.544715421,0.920815,0.043304962,0.043645353,0.992201
packed-cabac,testsrc2-720p,0,2700,11.579124682,11.025899777,1.050175,0.951714729,0.928903269,1.024557
packed-cabac,testsrc2-720p,1,2700,11.097520007,10.861456555,1.021734,0.947399340,0.914880279,1.035545
packed-cabac,testsrc2-720p,2,2700,11.427427305,11.296015486,1.011633,0.954845312,0.944158015,1.011319
packed-canonical,sintel,0,11277,15.966810869,15.920395988,1.002915,1.273828854,1.267421727,1.005055
packed-canonical,sintel,1,11277,12.867973961,12.319671901,1.044506,1.161596924,1.163061750,0.998741
packed-canonical,sintel,2,11277,12.704572397,12.891643364,0.985489,1.169906449,1.174952268,0.995706
packed-canonical,testsrc2-720p,0,2700,10.850048586,10.865713174,0.998558,0.917699551,0.902501594,1.016840
packed-canonical,testsrc2-720p,1,2700,10.085774437,10.977566476,0.918762,0.894659902,0.895756151,0.998776
packed-canonical,testsrc2-720p,2,2700,11.903830547,11.525892158,1.032790,0.948861629,0.935061449,1.014759
cmov-low,sintel,0,11277,13.463231149,13.970229166,0.963709,1.173837952,1.176344670,0.997869
cmov-low,sintel,1,11277,16.088498797,16.000572534,1.005495,1.237079729,1.248856015,0.990570
cmov-low,sintel,2,11277,15.603482538,15.472929672,1.008438,1.273720147,1.271267183,1.001930
cmov-low,testsrc2-720p,0,2700,15.254960063,15.386029252,0.991481,1.098121760,1.090639356,1.006861
cmov-low,testsrc2-720p,1,2700,13.248192356,12.643231171,1.047849,0.981491896,0.990691999,0.990713
cmov-low,testsrc2-720p,2,2700,12.310226392,12.927295629,0.952266,0.974147349,0.987447393,0.986531
precise-memory,sintel,0,11277,16.868280592,18.094996975,0.932207,1.334413023,1.335799186,0.998962
precise-memory,sintel,1,11277,15.621491409,15.519318579,1.006584,1.296614471,1.297109199,0.999619
precise-memory,sintel,2,11277,17.383650139,18.338151931,0.947950,1.378504213,1.375716154,1.002027
precise-memory,testsrc2-720p,0,2700,9.081859000,8.902885579,1.020103,0.849791026,0.852849476,0.996414
precise-memory,testsrc2-720p,1,2700,8.780240490,8.421505417,1.042597,0.845530049,0.853505722,0.990655
precise-memory,testsrc2-720p,2,2700,11.426627424,10.766791469,1.061284,0.935037399,0.945510451,0.988923
table-hoist,sintel,0,11277,15.265753786,16.148598031,0.945330,1.267178376,1.270711355,0.997220
table-hoist,sintel,1,11277,16.753636582,16.751008568,1.000157,1.308257005,1.310443132,0.998332
table-hoist,sintel,2,11277,15.608197526,16.236559817,0.961300,1.258414473,1.253151209,1.004200
