experiment,clip,run,frames,baseline_cpu,candidate_cpu,speedup,median_packet_baseline,median_packet_candidate,median_speedup
luma-batch,sintel,0,11277,14.051144398,13.551486509,1.036871,1.185074530,1.190836674,0.995161
luma-batch,sintel,1,11277,14.279575283,13.838372891,1.031883,1.205860036,1.211082846,0.995687
luma-batch,sintel,2,11277,14.715906680,15.656841444,0.939903,1.245336132,1.243108023,1.001792
luma-batch-v2,sintel,0,11277,20.463884609,19.202599965,1.065683,1.566277122,1.574688354,0.994658
luma-batch-v2,sintel,1,11277,21.176771751,20.985030539,1.009137,1.803234922,1.802365460,1.000482
luma-batch-v2,sintel,2,11277,21.254978885,20.551917938,1.034209,1.751542960,1.754191061,0.998490
luma-batch-v2,animation,0,810,0.916245290,0.755122633,1.213373,0.058583647,0.057868037,1.012366
luma-batch-v2,animation,1,810,0.723273339,0.751247959,0.962762,0.059494237,0.061127169,0.973286
luma-batch-v2,animation,2,810,0.595889829,0.613268592,0.971662,0.058173192,0.057948708,1.003874
luma-batch-v2,testsrc2,0,2700,11.995322368,12.024924291,0.997538,1.112763988,1.119150035,0.994294
luma-batch-v2,testsrc2,1,2700,14.152780112,12.919314659,1.095475,1.173477058,1.170023979,1.002951
luma-batch-v2,testsrc2,2,2700,13.212363548,12.431752955,1.062792,1.078651602,1.070219329,1.007879
luma-batch-v2,frinkiac,0,810,0.645576565,0.646091663,0.999203,0.054606069,0.056056888,0.974119
luma-batch-v2,frinkiac,1,810,0.463870699,0.442813790,1.047553,0.043505468,0.043196590,1.007151
luma-batch-v2,frinkiac,2,810,0.365972810,0.360731008,1.014531,0.036307917,0.035524102,1.022064
fixed-layout,sintel,0,11277,14.112899595,14.874374278,0.948806,1.232889925,1.233305867,0.999663
fixed-layout,sintel,1,11277,16.189158195,16.153600867,1.002201,1.281261503,1.270532317,1.008445
fixed-layout,sintel,2,11277,14.014633180,13.643452561,1.027206,1.198184699,1.200970816,0.997680
fixed-layout,animation,0,810,0.415717813,0.414947494,1.001856,0.039483049,0.038877092,1.015586
fixed-layout,animation,1,810,1.014025184,0.575127677,1.763131,0.044018314,0.043244057,1.017904
fixed-layout,animation,2,810,1.050906797,0.795576467,1.320938,0.049857466,0.042658833,1.168749
fixed-layout,testsrc2,0,2700,10.121996811,11.039847734,0.916860,0.881606984,0.887365581,0.993510
fixed-layout,testsrc2,1,2700,9.936498085,9.434507117,1.053208,0.859157794,0.861996013,0.996707
fixed-layout,testsrc2,2,2700,12.236970431,12.178872657,1.004770,0.914329130,0.937745113,0.975029
fixed-layout,frinkiac,0,810,0.351620233,0.346913790,1.013567,0.035250216,0.035212443,1.001073
fixed-layout,frinkiac,1,810,0.375202994,0.378410098,0.991525,0.035674879,0.035442438,1.006558
fixed-layout,frinkiac,2,810,0.458800256,0.668591927,0.686219,0.035932195,0.036037967,0.997065
fixed-geometry,sintel,0,11277,14.917477672,15.405303137,0.968334,1.252667257,1.238184316,1.011697
fixed-geometry,sintel,1,11277,16.476433744,16.878910874,0.976155,1.306780934,1.296111119,1.008232
fixed-geometry,sintel,2,11277,19.073391360,19.043392227,1.001575,1.277344263,1.260488769,1.013372
fixed-geometry,animation,0,810,0.447178689,0.471705391,0.948004,0.039680110,0.039727747,0.998801
fixed-geometry,animation,1,810,0.422149042,0.405988136,1.039806,0.039981340,0.038989812,1.025430
fixed-geometry,animation,2,810,0.403688842,0.402338400,1.003356,0.039273324,0.039114890,1.004050
fixed-geometry,testsrc2,0,2700,13.034767566,12.261257266,1.063086,0.998666826,0.989285809,1.009483
fixed-geometry,testsrc2,1,2700,10.461051461,10.543108222,0.992217,0.931838269,0.929901195,1.002083
fixed-geometry,testsrc2,2,2700,11.125827446,11.157696806,0.997144,0.935924404,0.927249984,1.009355
fixed-geometry,frinkiac,0,810,0.501392956,0.464610254,1.079169,0.037062832,0.036948212,1.003102
fixed-geometry,frinkiac,1,810,0.403773922,0.664583168,0.607560,0.035128562,0.034886795,1.006930
fixed-geometry,frinkiac,2,810,0.393776281,0.415444051,0.947844,0.035515114,0.035184538,1.009395
