scope,name,samples,percent_all_samples
function,ff_h264_decode_mb_cabac,1573,23.502166
function,ff_h264_decode_luma8_8_bmi2,508,7.590019
function,loop_filter,344,5.139698
function,ff_h264_decode_luma4_8_bmi2,344,5.139698
function,ff_h264_decode_mvd_pair_bmi2,315,4.706410
function,ff_h264_filter_mb_fast,253,3.780069
function,hl_decode_mb_simple_8,247,3.690423
function,mc_part_420_simple_8,230,3.436426
function,ff_put_h264_chroma_mc8_rnd_ssse3,205,3.062902
function,ff_h264_loop_filter_strength_avx,201,3.003138
function,ff_deblock_v_luma_8_avx,176,2.629613
function,ff_h264_decode_cbp_bmi2,158,2.360675
function,ff_put_pixels16_sse2,106,1.583744
function,ff_deblock_h_luma_8_avx,105,1.568803
function,ff_h264_pred_direct_motion,91,1.359629
function,ff_h264_idct_add8_422_8_mmx,83,1.240102
function,ff_prefetch_mmxext,83,1.240102
function,ff_h2645_extract_rbsp,81,1.210220
function,decode_significance_x86,79,1.180338
function,ff_deblock_h_chroma_8_avx,76,1.135515
function,ff_put_h264_qpel8or16_hv1_lowpass_op_sse2,70,1.045869
function,ff_h264_weight_16_avx2,65,0.971164
function,ff_h264_idct8_add4_8_sse2,62,0.926341
function,ff_avg_h264_chroma_mc8_rnd_ssse3,56,0.836695
function,outside_executable,55,0.821754
function,decode_slice,49,0.732108
function,ff_deblock_v_luma_intra_8_avx,47,0.702226
function,ff_put_h264_qpel16_hv2_lowpass_ssse3,42,0.627521
function,avcodec_send_packet,35,0.522934
function,ff_put_h264_qpel16_mc30_avx2,34,0.507993
function,ff_deblock_v_chroma_8_avx,34,0.507993
function,ff_put_h264_qpel16_mc10_avx2,31,0.463170
function,ff_avg_pixels16_sse2,31,0.463170
function,ff_h264_decode_residual_8_bmi2,26,0.388466
function,h264_decode_frame,24,0.358584
function,ff_put_h264_chroma_mc4_ssse3,24,0.358584
function,ff_deblock_h_luma_intra_8_avx,24,0.358584
function,ff_deblock_h_chroma_intra_8_avx,23,0.343643
function,ff_put_h264_qpel16_mc01_avx2,22,0.328702
function,ff_h264_biweight_16_ssse3,22,0.328702
function,ff_put_h264_qpel16_mc03_avx2,20,0.298820
function,ff_put_h264_qpel16_mc20_avx2,18,0.268938
function,ff_put_h264_qpel16_mc02_avx2,18,0.268938
function,ff_put_h264_qpel16_mc11_avx2,18,0.268938
function,ff_put_h264_qpel16_h_lowpass_l2_ssse3,17,0.253997
function,ff_put_pixels16x16_sse2,17,0.253997
function,ff_h264_idct8_add_8_sse2,17,0.253997
function,ff_put_h264_qpel8or16_v_lowpass_sse2,16,0.239056
function,ff_h264_init_cabac_states,16,0.239056
function,ff_h264_hl_decode_mb,15,0.224115
function,ff_put_h264_qpel16_mc13_avx2,15,0.224115
function,ff_put_h264_qpel16_mc33_avx2,15,0.224115
function,ff_h264_chroma_dc_dequant_idct_8_c,14,0.209174
function,ff_put_h264_qpel16_mc31_avx2,14,0.209174
function,ff_h264_idct_add8_8_sse2,14,0.209174
function,ff_put_h264_qpel8_hv2_lowpass_ssse3,13,0.194233
