experiment,instructions,function
hv2,1593637894,ff_h264_decode_mb_cabac
hv2,683276007,loop_filter
hv2,615629141,mc_part_420_simple_8
hv2,552821223,ff_h264_filter_mb_fast
hv2,478731878,hl_decode_mb_simple_8
hv2,442784514,ff_h264_decode_residual_8_bmi2
hv2,283341980,ff_h264_loop_filter_strength_avx
hv2,244598004,ff_deblock_v_luma_8_avx
hv2,202714557,ff_put_h264_chroma_mc8_rnd_ssse3
hv2,196924304,ff_h264_decode_mvd_pair_bmi2
hv2,186017561,ff_h264_pred_direct_motion
hv2,165959902,ff_deblock_h_chroma_8_avx
hv2,132157090,ff_deblock_h_luma_8_avx
hv2,124611431,decode_slice
hv2,122053542,ff_prefetch_mmxext
hv2,115622182,ff_h264_decode_cbp_bmi2
hv2,103459400,ff_deblock_v_chroma_8_avx
hv2,98896165,ff_put_h264_qpel8or16_hv1_lowpass_op_sse2
hv2,92450907,ff_h264_weight_16_avx2
hv2,85273854,ff_h264_idct_add8_422_8_mmx
hv2,77348127,ff_deblock_v_luma_intra_8_avx
hv2,71501040,ff_put_pixels16x16_sse2
hv2,59449509,ff_h264_idct8_add4_8_sse2
hv2,42897754,ff_avg_h264_chroma_mc8_rnd_ssse3
hv2,41655980,decode_significance_x86
hv2,40646932,ff_avg_pixels16x16_sse2
hv2,36537480,ff_h264_hl_decode_mb
hv2,34233478,ff_put_h264_qpel16_hv2_lowpass_avx2
hv2,33538775,ff_h264_biweight_16_ssse3
hv2,32503518,ff_deblock_h_chroma_intra_8_avx
hv2,29654178,ff_put_h264_chroma_mc4_ssse3
hv2,28858150,ff_put_h264_qpel16_h_lowpass_l2_ssse3
hv2,27493900,ff_h264_idct8_add_8_sse2
hv2,25519669,ff_deblock_h_luma_intra_8_avx
hv2,22467744,ff_deblock_v_chroma_intra_8_avx
hv2,21092610,ff_put_h264_qpel16_mc10_avx2
hv2,20878770,ff_put_h264_qpel16_mc30_avx2
hv2,20752728,ff_put_h264_qpel8_hv2_lowpass_ssse3
hv2,18982149,ff_h264_idct_add16_8_sse2
hv2,18916754,ff_h264_idct_add8_8_sse2
hv2,18774374,ff_put_h264_qpel16_mc20_avx2
hv2,14792890,ff_h264_chroma_dc_dequant_idct_8_c
hv2,12563420,ff_h264_weight_8_sse2
hv2,11799718,ff_h264_biweight_8_ssse3
hv2,11703912,ff_put_h264_qpel16_mc11_avx2
hv2,11529644,ff_put_h264_qpel16_mc33_avx2
hv2,11283008,ff_put_h264_qpel16_mc31_avx2
hv2,11004114,ff_put_h264_qpel16_mc01_avx2
hv2,10656921,ff_put_h264_qpel16_mc13_avx2
hv2,9588975,ff_put_h264_qpel16_mc03_avx2
hv2,9577400,ff_pred8x8_dc_8_sse2
hv2,9140796,ff_put_h264_qpel8_h_lowpass_l2_ssse3
hv2,8687161,ff_h2645_extract_rbsp
hv2,8468979,ff_h264_init_cabac_states
hv2,8372532,ff_put_h264_qpel8or16_v_lowpass_sse2
hv2,8196352,ff_put_h264_qpel16_mc02_avx2
hv2,8098481,emulated_edge_mc_avx2
hv2,6909204,ff_h264_idct_add16intra_8_sse2
hv2,6063420,ff_avg_h264_qpel16_mc20_avx2
hv2,5910870,ff_put_h264_qpel8_mc33_avx2
hv2,5788989,ff_put_h264_qpel8_mc11_avx2
hv2,5726192,ff_put_h264_qpel8_mc31_avx2
hv2,5579060,ff_put_h264_qpel8_mc13_avx2
hv2,5189492,ff_put_pixels16_l2_shift5_sse2
hv2,5188270,ff_avg_h264_qpel16_mc10_avx2
hv2,5118848,ff_pred16x16_plane_h264_8_ssse3
hv2,4933960,ff_avg_h264_qpel16_mc30_avx2
hv2,4863322,ff_pred8x8l_horizontal_down_8_ssse3
hv2,4699755,ff_avg_h264_qpel16_h_lowpass_l2_ssse3
hv2,3753157,ff_pred8x8l_down_right_8_sse2
hv2,3717373,ff_h264_check_intra_pred_mode
hv2,3706675,ff_pred8x8l_dc_8_sse2
hv2,3692052,ff_pred8x8l_horizontal_up_8_sse2
hv2,3648536,put_h264_qpel8_mc00_8_c
hv2,3510024,ff_put_h264_qpel8_mc30_avx2
hv2,3395839,put_h264_qpel8_mc02_sse2
hv2,3365858,ff_h264_idct_add_8_avx
hv2,3343020,ff_pred8x8_horizontal_8_avx2
hv2,3285420,ff_put_h264_qpel8_mc10_avx2
hv2,3041099,ff_pred8x8l_vertical_right_8_sse2
hv2,3014170,ff_pred8x8l_horizontal_8_sse2
hv2,2828080,ff_pred8x8_plane_8_ssse3
hv2,2793103,ff_h264_luma_dc_dequant_idct_sse2
hv2,2518920,ff_put_h264_qpel8_mc20_avx2
hv2,2361135,ff_avg_h264_qpel16_hv2_lowpass_avx2
hv2,2225232,ff_avg_h264_qpel16_mc02_avx2
hv2,2180160,ff_put_pixels8x8_l2_mmxext
hv2,2082773,ff_h264_queue_decode_slice
hv2,2048154,ff_put_pixels8_l2_shift5_sse2
hv2,1998815,decode_finish_row
hv2,1994910,ff_avg_h264_qpel16_mc01_avx2
hv2,1857744,ff_avg_h264_qpel16_mc11_avx2
hv2,1842581,ff_avg_h264_qpel16_mc13_avx2
hv2,1819956,ff_pred8x8l_vertical_left_8_sse2
hv2,1798141,ff_pred8x8l_down_left_8_sse2
hv2,1730577,ff_avg_h264_qpel16_mc03_avx2
hv2,1714275,ff_h264_idct8_dc_add_8_mmxext
hv2,1713552,ff_pred16x16_horizontal_8_avx2
hv2,1567112,put_h264_qpel16_mc22_avx2
hv2,1555223,ff_h264_build_ref_list
hv2,1536318,ff_avg_h264_qpel16_mc33_avx2
hv2,1517984,ff_avg_h264_qpel16_mc31_avx2
hv2,1482012,ff_pred16x16_vertical_8_sse
hv2,1449274,ff_h264_execute_ref_pic_marking
hv2,1388304,ff_h264_check_intra4x4_pred_mode
hv2,1312978,put_h264_qpel16_mc21_avx2
hv2,1290954,av_frame_unref
hv2,1282373,ff_avg_h264_chroma_mc4_ssse3
hv2,1252972,put_h264_qpel16_mc23_avx2
hv2,1203680,ff_emu_edge_vfix9_sse2
hv2,1159401,build_def_list
hv2,1152056,put_h264_qpel16_mc12_avx2
hv2,1139408,put_h264_qpel16_mc32_avx2
hv2,1061990,ff_avg_pixels16_l2_shift5_sse2
hv2,1003533,av_buffer_unref
hv2,934713,ff_pred4x4_horizontal_down_8_sse2
hv2,929526,put_h264_qpel8_mc21_ssse3
hv2,926112,put_h264_qpel8_mc01_sse2
hv2,920397,put_h264_qpel8_mc23_ssse3
hv2,917050,pred4x4_horizontal_8_c
hv2,898275,ff_pred4x4_horizontal_up_8_sse2
hv2,895720,ff_h264_idct_dc_add_8_avx
hv2,872520,put_h264_qpel8_mc03_sse2
hv2,835751,ff_h264_draw_horiz_band
hv2,817984,ff_pred4x4_down_right_8_sse2
hv2,807390,put_h264_qpel8_mc12_ssse3
hv2,781695,put_h264_qpel8_mc32_ssse3
hv2,760592,h264_field_start
hv2,754344,ff_pred4x4_vertical_right_8_sse2
hv2,744921,put_h264_qpel8_mc22_ssse3
hv2,712317,h264_frame_start
hv2,685491,av_refstruct_unref
hv2,636640,ff_pred4x4_dc_8_sse2
hv2,599367,ff_pred8x8l_vertical_8_sse2
hv2,587989,ff_emu_edge_vfix19_sse2
hv2,547472,ff_emu_edge_hfix2_sse2
hv2,542864,ff_emu_edge_vfix8_sse2
hv2,485324,ff_pred8x8_vertical_8_sse2
hv2,433732,ff_emu_edge_vfix7_sse2
hv2,431830,avg_h264_qpel16_mc22_avx2
hv2,427368,ff_pred4x4_vertical_left_8_sse2
hv2,425048,ff_avg_h264_qpel8_h_lowpass_l2_ssse3
hv2,410643,av_malloc
hv2,409526,ff_pred4x4_down_left_8_sse2
hv2,356944,ff_emu_edge_vfix17_sse2
hv2,354042,ff_h264_unref_picture
hv2,335110,h264_decode_frame
hv2,334372,ff_emu_edge_vfix21_sse2
hv2,331931,ff_emu_edge_vfix18_sse2
