experiment,clip,loops,run,frames,baseline_cpu,candidate_cpu,speedup,median_packet_baseline,median_packet_candidate,median_speedup
deblock-empty,sintel,9,0,11277,13.717349669,13.419696659,1.022180,1.189447969,1.194896895,0.995440
deblock-empty,sintel,9,1,11277,17.439671278,17.259743301,1.010425,1.274661192,1.272511907,1.001689
deblock-empty,sintel,9,2,11277,14.500648921,14.022730942,1.034082,1.212863184,1.218608215,0.995286
deblock-empty,testsrc2,9,0,2700,10.352414978,11.010358852,0.940243,0.876400989,0.883022262,0.992502
deblock-empty,testsrc2,9,1,2700,11.295998101,11.729314632,0.963057,0.915061110,0.921091729,0.993453
deblock-empty,testsrc2,9,2,2700,10.710116615,10.216471016,1.048319,0.877465635,0.885624193,0.990788
no-prefetch,sintel,9,0,11277,21.815494725,20.870599439,1.045274,1.601617921,1.650379357,0.970454
no-prefetch,sintel,9,1,11277,20.502343045,21.804347500,0.940287,1.753748694,1.812432722,0.967621
no-prefetch,sintel,9,2,11277,21.147252334,21.202016163,0.997417,1.800421498,1.845002476,0.975837
no-prefetch,testsrc2,9,0,2700,13.605845270,15.268724448,0.891092,1.082634359,1.198321865,0.903459
no-prefetch,testsrc2,9,1,2700,11.169376415,11.616721054,0.961491,1.028241167,1.059511077,0.970486
no-prefetch,testsrc2,9,2,2700,13.283331167,13.945825551,0.952495,1.147770090,1.215754948,0.944080
hv2,sintel,5,0,6265,8.432260412,8.343314927,1.010661,1.366245156,1.372430855,0.995493
hv2,sintel,5,1,6265,8.024810794,8.035763276,0.998637,1.341517887,1.349512895,0.994076
hv2,sintel,5,2,6265,7.115996160,7.137046399,0.997051,1.318421778,1.322769956,0.996713
hv12,sintel,5,0,6265,6.904085661,6.963143690,0.991518,1.173677300,1.170985947,1.002298
hv12,sintel,5,1,6265,9.520557136,9.501237269,1.002033,1.791454461,1.775846596,1.008789
hv12,sintel,5,2,6265,7.606273793,7.633072076,0.996489,1.303890551,1.307593817,0.997168
hv12,testsrc2,5,0,1500,4.437566316,4.454955313,0.996097,0.828011536,0.835747169,0.990744
hv12,testsrc2,5,1,1500,4.699541008,4.761578669,0.986971,0.876843234,0.879986645,0.996428
hv12,testsrc2,5,2,1500,4.571335377,4.559721884,1.002547,0.858514318,0.865280511,0.992180
